TmID;Name;Country;Foundation;NumTrophies;Street;StreetNumber;ZipCode;City
873;Crystal Palace;England;1905-01-01;4;Selhurst;Park;SE25;6PU
897;Deportivo de La Coruña;Spain;1906-05-11;0;Plaza de Pontevedra;19-1°;15003;La
903;Hibernian FC;Scotland;1875-08-06;0;12 Albion Place;;EH7;5QG
920;Derry City;Northern Ireland;1927-11-30;0;Lone Moor Road;;BT48;9HZ
931;Fulham FC;England;1879-12-21;7;Stevenage;Road;SW6;6HH
932;Lokomotiv Moscow;Russia;1922-07-23;0;Bolshaya Cherkizovskaya,;125;107553;Moskau
938;FC Thun;Switzerland;1898-05-04;0;Gwattstrasse;16;3601;Thun
940;Celta de Vigo;Spain;1927-01-01;0;Calle Conde de Gondomar;1;36203;Vigo
941;FC Viktoria Plzen;Czech Republic;1911-03-01;0;Štruncovy;sady;301;12
952;UTA Arad;Romania;1945-04-18;0;Calea Victoriei, nr.;20;310158;Arad
964;Zenit St. Petersburg;Russia;1925-05-25;0;Dobrolyubova, 16, building;2;197341;Sankt
969;HSC Montpellier;France;1974-01-01;0;Avenue Albert;Einstein;34070;Montpellier
984;West Bromwich Albion;England;1878-11-01;3;Halfords;Lane;B71;4LF
985;Manchester United;England;1962-01-01;18;Sir Matt Busby;Way;M16;0RA
989;AFC Bournemouth;England;1899-01-01;0;Dean;Court;BH7;7AF
990;Coventry City;England;1883-01-01;9;Ricoh;Arena;CV6;6GE
991;Milton Keynes Dons;England;1889-01-01;8;Stadium Way;West;MK1;1ST
995;FC Nantes;France;1943-04-21;0;;;;
1003;Leicester City;England;1884-01-01;8;Filbert;Way;LE2;7FL
1007;Universitatea Craiova;Romania;1991-11-27;0;;;;
1008;HJK Helsinki;Finland;1907-06-19;0;Urheilukatu;5;00250;Helsinki
1010;Watford FC;England;1881-01-01;2;Vicarage;Road;WD18;0ER
1011;Halmstads BK;Sweden;1914-03-06;0;Box;223;30106;Halmstad
1017;Hapoel Tel Aviv;Israel;1926-01-01;0;Ha’lohamim Str.;15;61084;Tel-Aviv-Yaffa
1020;Portsmouth FC;England;1898-04-05;5;Fratton Park, Frogmore;Road;PO4;8RA
1025;Bologna FC 1909;Italy;1909-10-03;0;Via Casteldebole;10;40132;Bologna
1027;Bradford City;England;1903-05-25;2;Valley;Parade;BD8;7DY
1032;Reading FC;England;1871-12-25;2;Madejski Stadium, Junction 11,;M4;RG2;0FL
1033;Valur Reykjavík;Iceland;1911-05-11;0;Hlíðarenda við;Laufásveg;101;Reykjavík
1035;Sheffield Wednesday;England;1867-09-04;8;Hillsborough;Hillsborough;S6;1SW
1038;UC Sampdoria;Italy;1946-08-12;0;Piazza Borgo Pila,;39;16129;Genova
1039;Queens Park Rangers;England;1882-01-01;4;Loftus Road;Stadium;W12;7PA
1041;Olympique Lyon;France;1950-08-03;0;350 avenue Jean;Jaurès;69007;Lyon
1043;FC Skonto Riga;Latvia;1991-11-01;0;Elizabetes iela;75;1050;Riga
1044;Djurgardens IF;Sweden;1891-03-12;0;Valhallavägen;104;11433;Stockholm
1049;Valencia CF;Spain;1919-03-18;0;Calle Pintor Monleón;4;46023;Valencia
1050;Villarreal CF;Spain;1923-03-10;0;Camino;Miralcamp;12540;Villarreal
1053;Aalborg BK;Denmark;1885-05-13;0;Hornevej;2;9220;Aalborg
1064;Maccabi Haifa;Israel;1913-01-01;0;Heinrich-Heine-Straße;14;33264;Hefa
1071;Wigan Athletic;England;1932-01-01;3;The DW Stadium, Loire Drive,;Newtown;WN5;0UZ
1073;KSK Beveren;Belgium;1935-09-09;0;Klapperstraat;Klapperstraat;9120;Beveren
1075;SC Braga;Portugal;1921-01-19;0;Estádio Municipal de Braga Apartado;12;4711-909;Braga
1078;Oldham Athletic;England;1899-07-04;2;Furtherwood;Road;OL1;2PA
1082;LOSC Lille;France;1944-09-23;0;Domaine de;Luchin;59780;Camphin-en-Pévèle
1083;FK Rostov;Russia;1930-05-10;0;Sholokhova,;31e;344029;Rostov-na-Donu
1084;Málaga CF;Spain;1947-11-30;0;Martirícos;Martirícos;29011;Málaga
1090;AZ Alkmaar;Netherlands;1967-05-10;0;Stadionweg;1;1812;AZ
1091;PAOK Thessaloniki;Greece;1926-04-12;0;Mikras Asias;1;543;51
