PlayerID;Position
22492;Left-Back
22493;Central Midfield
22497;Left Midfield
22497;Right Midfield
22560;Attacking Midfield
22560;Centre-Forward
22726;Centre-Back
22811;Right Midfield
22841;Left-Back
22841;Right-Back
22855;Left Midfield
23012;Centre-Forward
23012;Right Midfield
23106;Left Midfield
23106;Left-Back
23170;Left-Back
23194;Left Winger
23194;Second Striker
23306;Defensive Midfield
23368;Second Striker
23623;Attacking Midfield
23720;Defensive Midfield
23721;Attacking Midfield
23721;Central Midfield
23759;Attacking Midfield
23898;Left-Back
23941;Left Winger
23941;Second Striker
24134;Attacking Midfield
24134;Centre-Forward
24277;Defensive Midfield
24296;Right-Back
24321;Central Midfield
24321;Centre-Back
24384;Left-Back
24456;Centre-Back
24458;Left Winger
24458;Second Striker
24473;Right-Back
24538;Left Midfield
24538;Right Midfield
24571;Second Striker
24572;Left Winger
24572;Second Striker
24573;Centre-Back
24605;Centre-Forward
24625;Sweeper
24703;Attacking Midfield
24925;Left-Back
24972;Right Midfield
24986;Right Midfield
25003;Defensive Midfield
25043;Left-Back
25050;Attacking Midfield
25050;Central Midfield
25068;Central Midfield
25089;Left Midfield
25135;Second Striker
25204;Left Midfield
25204;Left Winger
25267;Left Midfield
25333;Sweeper
25356;Second Striker
25449;Centre-Forward
25449;Left Winger
25472;Defensive Midfield
25472;Left-Back
25636;Right-Back
25648;Defensive Midfield
25648;Left-Back
25653;Defensive Midfield
25856;Left-Back
25856;Right Midfield
25885;Right Winger
25885;Second Striker
25905;Attacking Midfield
25905;Right Midfield
25918;Left-Back
25918;Right Midfield
25997;Defensive Midfield
26052;Attacking Midfield
26052;Right Midfield
26175;Right-Back
26204;Centre-Back
26269;Attacking Midfield
26353;Left-Back
26353;Right-Back
26362;Left Winger
26501;Right Midfield
26547;Defensive Midfield
26645;Centre-Back
26667;Defensive Midfield
26687;Centre-Forward
26752;Central Midfield
26752;Defensive Midfield
26876;Centre-Forward
26876;Left Winger
26884;Centre-Back
26884;Right-Back
26947;Central Midfield
26947;Centre-Back
27010;Defensive Midfield
27164;Right Winger
27272;Defensive Midfield
27324;Left-Back
27324;Right-Back
27350;Left-Back
27489;Right-Back
27616;Centre-Back
27616;Right Midfield
27761;Second Striker
27806;Left Winger
27812;Attacking Midfield
27812;Central Midfield
27816;Left Midfield
27816;Right Midfield
27831;Left-Back
27831;Right-Back
27865;Central Midfield
27865;Centre-Back
28008;Left Winger
28707;Central Midfield
28707;Left Winger
28758;Defensive Midfield
28825;Right Winger
28825;Second Striker
28852;Left Winger
28852;Right Midfield
28873;Left Midfield
29128;Central Midfield
29128;Left Winger
29170;Attacking Midfield
29170;Left Winger
29186;Left Winger
29253;Defensive Midfield
29253;Left-Back
29282;Attacking Midfield
29335;Right Midfield
29425;Right-Back
29450;Left Midfield
29512;Attacking Midfield
29556;Left Midfield
29672;Attacking Midfield
29672;Central Midfield
29799;Left Midfield
29799;Right-Back
29840;Left Winger
29840;Right Winger
29913;Attacking Midfield
29913;Left-Back
30348;Centre-Back
30404;Right Midfield
30537;Centre-Forward
30576;Attacking Midfield
30648;Central Midfield
30691;Left Winger
30691;Right Winger
30932;Right Winger
30932;Second Striker
30936;Centre-Back
